OBJECTID,Label,pt_sequence,pt_type,pt_type_fr,source,source_fr,NAFO_SubArea,NAFO_Division,NAFO_SubDivision,NAFO_SubSubDivision,lat_dd,long_dd,lat_ddm,long_ddm,line_id
1,0-A,1,Coast,Côte,Point derived on land near coastline,Point généré sur des terres près de la côte,0,0-A,,,78.166667,-76.67,78° 10.000' N,76° 40.200' W,0-A-1
2,0-A,2,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-A,,,78.166667,-73.5,78° 10.000' N,73° 30.000' W,0-A-1
3,0-A,3,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-A,,,75.083333,-73.5,75° 5.000' N,73° 30.000' W,0-A-1
4,0-A,3.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,75.06946,-73.461772,75° 4.168' N,73° 27.706' W,0-A-1
5,0-A,3.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,75.055581,-73.423613,75° 3.335' N,73° 25.417' W,0-A-1
6,0-A,3.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,75.041695,-73.385523,75° 2.502' N,73° 23.131' W,0-A-1
7,0-A,3.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,75.027803,-73.347502,75° 1.668' N,73° 20.850' W,0-A-1
8,0-A,3.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,75.013905,-73.30955,75° 0.834' N,73° 18.573' W,0-A-1
9,0-A,4,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-A,,,75,-73.271667,75° 0.000' N,73° 16.300' W,0-A-1
10,0-A,4.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.984343,-73.248961,74° 59.061' N,73° 14.938' W,0-A-1
11,0-A,4.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.968685,-73.226301,74° 58.121' N,73° 13.578' W,0-A-1
12,0-A,4.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.953023,-73.203687,74° 57.181' N,73° 12.221' W,0-A-1
13,0-A,4.4,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.93736,-73.181119,74° 56.242' N,73° 10.867' W,0-A-1
14,0-A,4.5,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.921695,-73.158596,74° 55.302' N,73° 9.516' W,0-A-1
15,0-A,4.6,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.906027,-73.13612,74° 54.362' N,73° 8.167' W,0-A-1
16,0-A,4.7,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.890357,-73.113689,74° 53.421' N,73° 6.821' W,0-A-1
17,0-A,4.8,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.874684,-73.091303,74° 52.481' N,73° 5.478' W,0-A-1
18,0-A,4.9,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.85901,-73.068962,74° 51.541' N,73° 4.138' W,0-A-1
19,0-A,5,Corner,Coin,NAFO Convention (2020),Convention de l’OPANO (2020),0,0-A,,,74.843333,-73.046667,74° 50.600' N,73° 2.800' W,0-A-1
20,0-A,5.1,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.828102,-73.023196,74° 49.686' N,73° 1.392' W,0-A-1
21,0-A,5.2,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.812869,-72.999772,74° 48.772' N,72° 59.986' W,0-A-1
22,0-A,5.3,Geodetic,Géodésique,Vertex along geodetic line,Sommet le long d'une géodésique,0,0-A,,,74.797634,-72.976393,74° 47.858' N,72° 58.584' W,0-A-1
