PID,POS,X,Y,AREA
2,1,-65.05030621,45.2919675,SPA1B
2,2,-65.052693,45.29090869,SPA1B
2,3,-65.16603563,45.25007875,SPA1B
2,4,-66.16605676,44.8333791,SPA1B
2,5,-66.3326913,44.83337825,SPA1B
2,6,-66.49939448,44.55008128,SPA1B
2,7,-66.49939867,45.02507576,SPA1B
2,8,-66.4493973,45.02507589,SPA1B
2,9,-65.90494147,45.1959089,SPA1B
2,10,-65.89808678,45.28267482,SPA1B
2,11,-65.10006959,45.61297368,SPA1B
2,12,-64.69078463,46.0086381,SPA1B
2,13,-64.33148602,45.97056673,SPA1B
2,14,-64.17934478,45.75007518,SPA1B
2,15,-64.73935604,45.43007798,SPA1B
2,16,-63.34163023,45.44232638,SPA1B
2,17,-63.34163023,45.30431764,SPA1B
2,18,-64.05589039,45.13717865,SPA1B
2,19,-64.03881231,44.94977795,SPA1B
2,20,-64.3505217,44.96881364,SPA1B
2,21,-64.45283853,45.19248297,SPA1B
2,22,-65.00760136,44.99934957,SPA1B
2,23,-65.01768847,45.06675226,SPA1B
2,24,-65.05030621,45.2919675,SPA1B
