PID,POS,X,Y,AREA
4,1,-66.39939022,44.23675381,SPA3
4,2,-66.37028926,44.24848707,SPA3
4,3,-66.32108757,44.26218708,SPA3
4,4,-66.29938692,44.29158668,SPA3
4,5,-66.21958465,44.37788563,SPA3
4,6,-66.19877489,44.40064423,SPA3
4,7,-66.10314915,44.48835888,SPA3
4,8,-65.93937804,44.59008399,SPA3
4,9,-65.84787569,44.60718434,SPA3
4,10,-65.75190527,44.55228899,SPA3
4,11,-66.18497072,44.1098135,SPA3
4,12,-66.11937911,44.01009273,SPA3
4,13,-65.92937195,43.93009527,SPA3
4,14,-65.79936526,43.72009975,SPA3
4,15,-65.80310039,43.66675503,SPA3
4,16,-66.14937676,43.66676544,SPA3
4,17,-66.78273323,43.66676248,SPA3
4,18,-66.78273944,44.30008489,SPA3
4,19,-66.39939045,44.30008603,SPA3
4,20,-66.39939022,44.23675381,SPA3
