PID,POS,X,Y,AREA
7,1,-66.49939867,45.02507576,SPA6A
7,2,-66.49939448,44.55008128,SPA6A
7,3,-66.83063756,44.30008458,SPA6A
7,4,-67.08912881,44.3000829,SPA6A
7,5,-67.04055556,44.36083333,SPA6A
7,6,-67.03694444,44.43222222,SPA6A
7,7,-67.05888889,44.48222222,SPA6A
7,8,-67.04277778,44.5075,SPA6A
7,9,-67.0475,44.55555556,SPA6A
7,10,-67.00777778,44.615,SPA6A
7,11,-66.95694444,44.65277778,SPA6A
7,12,-66.94716005,44.69885985,SPA6A
7,13,-66.93777778,44.74305556,SPA6A
7,14,-66.93370861,44.74682939,SPA6A
7,15,-66.90333333,44.775,SPA6A
7,16,-66.88541667,44.79419444,SPA6A
7,17,-66.91573632,44.81431824,SPA6A
7,18,-66.86608166,44.94313391,SPA6A
7,19,-66.87802639,44.96674485,SPA6A
7,20,-66.79107748,45.00007684,SPA6A
7,21,-66.71718496,45.00535437,SPA6A
7,22,-66.810522,44.91674455,SPA6A
7,23,-66.71607266,44.9167439,SPA6A
7,24,-66.62329234,45.01229812,SPA6A
7,25,-66.49939867,45.02507576,SPA6A
